make,model,variant,year,odometer_km,segment,service_history,panel_paint_condition,mechanical_faults,tyre_condition,keys_count,rego_status,guide_trade_low,guide_trade_high,comps_json,purchase_price_aud,actual_recon_aud,resale_price_aud,purchased_at
Holden,Commodore,Evoke,2024,26641,large,full,poor,WL:check engine light,replace,2,current,23410.0,26390.0,"[{""sold_at"": ""2025-01-22"", ""price_aud"": 23900.0, ""odometer_km"": 24677, ""match_quality"": 0.73}, {""sold_at"": ""2024-12-26"", ""price_aud"": 24910.0, ""odometer_km"": 26989, ""match_quality"": 0.66}, {""sold_at"": ""2025-02-14"", ""price_aud"": 26320.0, ""odometer_km"": 27614, ""match_quality"": 0.78}, {""sold_at"": ""2025-02-26"", ""price_aud"": 24800.0, ""odometer_km"": 32140, ""match_quality"": 0.97}, {""sold_at"": ""2025-01-31"", ""price_aud"": 26470.0, ""odometer_km"": 32308, ""match_quality"": 0.97}]",18720.0,4936.0,28580.0,2025-05-13
Mazda,BT-50,GT,2018,77483,ute,full,good,WL:abs; rear brakes,good,2,current,15710.0,17710.0,"[{""sold_at"": ""2025-03-25"", ""price_aud"": 15480.0, ""odometer_km"": 62480, ""match_quality"": 0.91}, {""sold_at"": ""2025-08-04"", ""price_aud"": 17750.0, ""odometer_km"": 96024, ""match_quality"": 0.87}, {""sold_at"": ""2025-07-20"", ""price_aud"": 15720.0, ""odometer_km"": 60699, ""match_quality"": 0.83}, {""sold_at"": ""2025-07-27"", ""price_aud"": 17900.0, ""odometer_km"": 88881, ""match_quality"": 0.69}]",12750.0,2493.0,19220.0,2025-08-21
Audi,A4,35 TFSI,2022,56367,prestige,full,good,aircon weak,good,2,current,32450.0,36590.0,"[{""sold_at"": ""2025-05-09"", ""price_aud"": 36220.0, ""odometer_km"": 63985, ""match_quality"": 0.81}, {""sold_at"": ""2025-01-07"", ""price_aud"": 31600.0, ""odometer_km"": 59631, ""match_quality"": 0.8}, {""sold_at"": ""2025-01-23"", ""price_aud"": 31340.0, ""odometer_km"": 66263, ""match_quality"": 0.78}, {""sold_at"": ""2025-03-24"", ""price_aud"": 37700.0, ""odometer_km"": 61890, ""match_quality"": 0.86}]",26260.0,2615.0,42080.0,2025-05-16
Hyundai,Tucson,Highlander,2023,34312,suv,none,good,none,good,2,current,20980.0,23660.0,"[{""sold_at"": ""2025-08-10"", ""price_aud"": 22540.0, ""odometer_km"": 42488, ""match_quality"": 0.67}, {""sold_at"": ""2025-09-12"", ""price_aud"": 24530.0, ""odometer_km"": 38363, ""match_quality"": 0.83}, {""sold_at"": ""2025-06-12"", ""price_aud"": 21970.0, ""odometer_km"": 30564, ""match_quality"": 0.86}, {""sold_at"": ""2025-09-10"", ""price_aud"": 24100.0, ""odometer_km"": 41606, ""match_quality"": 0.94}, {""sold_at"": ""2025-06-08"", ""price_aud"": 21290.0, ""odometer_km"": 30399, ""match_quality"": 0.91}, {""sold_at"": ""2025-05-14"", ""price_aud"": 23520.0, ""odometer_km"": 32398, ""match_quality"": 0.92}]",17670.0,1182.0,27210.0,2025-09-19
BMW,3 Series,M340i,2019,93925,prestige,full,good,none,replace,2,current,24690.0,27850.0,"[{""sold_at"": ""2025-05-27"", ""price_aud"": 24850.0, ""odometer_km"": 71671, ""match_quality"": 0.7}, {""sold_at"": ""2025-03-04"", ""price_aud"": 27710.0, ""odometer_km"": 75090, ""match_quality"": 0.86}, {""sold_at"": ""2025-05-18"", ""price_aud"": 28030.0, ""odometer_km"": 74631, ""match_quality"": 0.84}, {""sold_at"": ""2025-06-21"", ""price_aud"": 26530.0, ""odometer_km"": 95544, ""match_quality"": 0.74}]",20640.0,3020.0,30050.0,2025-07-09
Ford,Ranger,Wildtrak,2025,16732,ute,partial,excellent,none,good,2,current,37900.0,42740.0,"[{""sold_at"": ""2025-05-13"", ""price_aud"": 41790.0, ""odometer_km"": 16714, ""match_quality"": 0.76}, {""sold_at"": ""2025-03-27"", ""price_aud"": 37140.0, ""odometer_km"": 15781, ""match_quality"": 0.96}, {""sold_at"": ""2025-06-06"", ""price_aud"": 37640.0, ""odometer_km"": 14704, ""match_quality"": 0.9}, {""sold_at"": ""2025-03-12"", ""price_aud"": 38620.0, ""odometer_km"": 16669, ""match_quality"": 0.96}, {""sold_at"": ""2025-03-10"", ""price_aud"": 43650.0, ""odometer_km"": 19147, ""match_quality"": 0.85}, {""sold_at"": ""2025-03-25"", ""price_aud"": 37120.0, ""odometer_km"": 18888, ""match_quality"": 0.89}]",31800.0,532.0,42720.0,2025-08-01
Mitsubishi,Outlander,LS,2022,47984,suv,full,good,none,good,1,current,18700.0,21080.0,"[{""sold_at"": ""2026-03-07"", ""price_aud"": 18980.0, ""odometer_km"": 47507, ""match_quality"": 0.72}, {""sold_at"": ""2026-02-15"", ""price_aud"": 18750.0, ""odometer_km"": 44809, ""match_quality"": 0.79}, {""sold_at"": ""2026-03-26"", ""price_aud"": 18600.0, ""odometer_km"": 54195, ""match_quality"": 0.9}, {""sold_at"": ""2026-02-25"", ""price_aud"": 20030.0, ""odometer_km"": 37383, ""match_quality"": 0.73}]",13580.0,3912.0,,2026-06-25
Audi,A4,35 TFSI,2018,194174,prestige,partial,good,none,good,1,current,18030.0,20330.0,"[{""sold_at"": ""2025-11-14"", ""price_aud"": 18520.0, ""odometer_km"": 220755, ""match_quality"": 0.93}, {""sold_at"": ""2026-01-05"", ""price_aud"": 17590.0, ""odometer_km"": 167427, ""match_quality"": 0.87}, {""sold_at"": ""2025-12-05"", ""price_aud"": 18290.0, ""odometer_km"": 215413, ""match_quality"": 0.75}, {""sold_at"": ""2026-01-30"", ""price_aud"": 18530.0, ""odometer_km"": 159168, ""match_quality"": 0.7}, {""sold_at"": ""2026-01-25"", ""price_aud"": 19880.0, ""odometer_km"": 149613, ""match_quality"": 0.63}]",15750.0,1447.0,21020.0,2026-03-07
Toyota,Camry,Ascent,2020,104491,medium,partial,good,none,worn,1,current,15030.0,16950.0,"[{""sold_at"": ""2025-10-07"", ""price_aud"": 14680.0, ""odometer_km"": 108495, ""match_quality"": 0.89}, {""sold_at"": ""2025-09-19"", ""price_aud"": 16200.0, ""odometer_km"": 106359, ""match_quality"": 0.76}, {""sold_at"": ""2025-11-23"", ""price_aud"": 16410.0, ""odometer_km"": 107057, ""match_quality"": 0.62}, {""sold_at"": ""2025-09-10"", ""price_aud"": 14740.0, ""odometer_km"": 90937, ""match_quality"": 0.96}, {""sold_at"": ""2025-11-09"", ""price_aud"": 16140.0, ""odometer_km"": 91451, ""match_quality"": 0.71}]",12380.0,1172.0,17070.0,2026-01-23
Kia,Cerato,GT,2016,154791,small,partial,poor,none,good,2,current,6610.0,7450.0,"[{""sold_at"": ""2025-05-09"", ""price_aud"": 7510.0, ""odometer_km"": 181742, ""match_quality"": 0.73}, {""sold_at"": ""2025-06-27"", ""price_aud"": 6550.0, ""odometer_km"": 181810, ""match_quality"": 0.75}, {""sold_at"": ""2025-05-20"", ""price_aud"": 6900.0, ""odometer_km"": 191685, ""match_quality"": 0.66}, {""sold_at"": ""2025-06-26"", ""price_aud"": 7260.0, ""odometer_km"": 177962, ""match_quality"": 0.84}]",990.0,3923.0,,2025-09-14
Mitsubishi,Outlander,Exceed,2017,97179,suv,full,excellent,none,new,2,current,10710.0,12070.0,"[{""sold_at"": ""2025-05-06"", ""price_aud"": 12150.0, ""odometer_km"": 101425, ""match_quality"": 0.81}, {""sold_at"": ""2025-02-14"", ""price_aud"": 11510.0, ""odometer_km"": 110926, ""match_quality"": 0.83}, {""sold_at"": ""2025-02-14"", ""price_aud"": 12080.0, ""odometer_km"": 112713, ""match_quality"": 0.7}]",9760.0,450.0,12650.0,2025-05-21
Toyota,Landcruiser Prado,VX,2016,189707,suv,full,excellent,none,worn,2,expired,15550.0,17530.0,"[{""sold_at"": ""2025-03-19"", ""price_aud"": 17530.0, ""odometer_km"": 164861, ""match_quality"": 0.84}, {""sold_at"": ""2025-06-03"", ""price_aud"": 15070.0, ""odometer_km"": 206119, ""match_quality"": 0.96}, {""sold_at"": ""2025-05-26"", ""price_aud"": 16680.0, ""odometer_km"": 201649, ""match_quality"": 0.96}, {""sold_at"": ""2025-06-08"", ""price_aud"": 18110.0, ""odometer_km"": 144335, ""match_quality"": 0.96}, {""sold_at"": ""2025-04-02"", ""price_aud"": 16980.0, ""odometer_km"": 232684, ""match_quality"": 0.76}]",11430.0,2057.0,,2025-07-14
Hyundai,Tucson,Highlander,2025,15205,suv,none,good,WL:check engine light,good,2,current,26200.0,29540.0,"[{""sold_at"": ""2025-04-21"", ""price_aud"": 27390.0, ""odometer_km"": 17478, ""match_quality"": 0.86}, {""sold_at"": ""2025-06-10"", ""price_aud"": 27640.0, ""odometer_km"": 14270, ""match_quality"": 0.8}, {""sold_at"": ""2025-05-14"", ""price_aud"": 30200.0, ""odometer_km"": 12576, ""match_quality"": 0.81}]",20240.0,1259.0,33110.0,2025-07-31
Nissan,Navara,SL,2018,174082,ute,none,fair,none,replace,2,current,13310.0,15010.0,"[{""sold_at"": ""2025-09-25"", ""price_aud"": 13810.0, ""odometer_km"": 132439, ""match_quality"": 0.69}, {""sold_at"": ""2025-09-09"", ""price_aud"": 14990.0, ""odometer_km"": 212012, ""match_quality"": 0.89}, {""sold_at"": ""2025-07-02"", ""price_aud"": 14700.0, ""odometer_km"": 187447, ""match_quality"": 0.81}, {""sold_at"": ""2025-09-06"", ""price_aud"": 13870.0, ""odometer_km"": 171030, ""match_quality"": 0.83}]",9100.0,2330.0,16830.0,2025-11-13
Toyota,Camry,Ascent,2023,45143,medium,partial,fair,WL:check engine light,good,2,current,21790.0,24570.0,"[{""sold_at"": ""2024-11-18"", ""price_aud"": 21640.0, ""odometer_km"": 42783, ""match_quality"": 0.76}, {""sold_at"": ""2025-02-16"", ""price_aud"": 23160.0, ""odometer_km"": 40141, ""match_quality"": 0.97}, {""sold_at"": ""2025-02-01"", ""price_aud"": 23490.0, ""odometer_km"": 52926, ""match_quality"": 0.91}, {""sold_at"": ""2025-03-18"", ""price_aud"": 24250.0, ""odometer_km"": 41443, ""match_quality"": 0.66}, {""sold_at"": ""2025-02-02"", ""price_aud"": 22030.0, ""odometer_km"": 42530, ""match_quality"": 0.83}, {""sold_at"": ""2025-04-05"", ""price_aud"": 21550.0, ""odometer_km"": 36797, ""match_quality"": 0.7}]",16000.0,1971.0,25120.0,2025-04-13
Ford,Ranger,XL,2018,125620,ute,partial,excellent,none,good,1,current,16670.0,18790.0,"[{""sold_at"": ""2025-08-19"", ""price_aud"": 18970.0, ""odometer_km"": 102972, ""match_quality"": 0.68}, {""sold_at"": ""2025-07-10"", ""price_aud"": 17220.0, ""odometer_km"": 146887, ""match_quality"": 0.69}, {""sold_at"": ""2025-09-13"", ""price_aud"": 17190.0, ""odometer_km"": 127841, ""match_quality"": 0.64}]",15040.0,1027.0,19490.0,2025-10-24
Honda,CR-V,VTi,2024,19608,suv,full,good,none,good,1,expired,24740.0,27900.0,"[{""sold_at"": ""2025-03-13"", ""price_aud"": 26360.0, ""odometer_km"": 15897, ""match_quality"": 0.96}, {""sold_at"": ""2025-05-27"", ""price_aud"": 28000.0, ""odometer_km"": 18468, ""match_quality"": 0.97}, {""sold_at"": ""2025-06-16"", ""price_aud"": 27970.0, ""odometer_km"": 20376, ""match_quality"": 0.89}, {""sold_at"": ""2025-06-20"", ""price_aud"": 27940.0, ""odometer_km"": 24374, ""match_quality"": 0.83}]",21300.0,1516.0,27800.0,2025-07-25
Toyota,Landcruiser Prado,VX,2025,11582,suv,partial,poor,aircon weak,good,2,current,47340.0,53380.0,"[{""sold_at"": ""2025-05-24"", ""price_aud"": 53610.0, ""odometer_km"": 11805, ""match_quality"": 0.97}, {""sold_at"": ""2025-07-01"", ""price_aud"": 46270.0, ""odometer_km"": 12613, ""match_quality"": 0.62}, {""sold_at"": ""2025-05-16"", ""price_aud"": 53720.0, ""odometer_km"": 9779, ""match_quality"": 0.67}, {""sold_at"": ""2025-04-26"", ""price_aud"": 47240.0, ""odometer_km"": 11638, ""match_quality"": 0.81}]",37390.0,2138.0,,2025-09-06
Honda,Civic,VTi-S,2016,142055,small,full,fair,none,good,2,current,7870.0,8870.0,"[{""sold_at"": ""2026-04-10"", ""price_aud"": 7980.0, ""odometer_km"": 131556, ""match_quality"": 0.98}, {""sold_at"": ""2026-07-07"", ""price_aud"": 8460.0, ""odometer_km"": 171166, ""match_quality"": 0.79}, {""sold_at"": ""2026-04-01"", ""price_aud"": 8040.0, ""odometer_km"": 159737, ""match_quality"": 0.92}, {""sold_at"": ""2026-02-27"", ""price_aud"": 8960.0, ""odometer_km"": 126271, ""match_quality"": 0.95}, {""sold_at"": ""2026-04-18"", ""price_aud"": 8230.0, ""odometer_km"": 177480, ""match_quality"": 0.92}]",5270.0,2730.0,8810.0,2026-07-24
Audi,A4,40 TFSI,2020,97404,prestige,partial,poor,none,worn,2,current,25320.0,28560.0,"[{""sold_at"": ""2026-01-09"", ""price_aud"": 29150.0, ""odometer_km"": 90627, ""match_quality"": 0.66}, {""sold_at"": ""2026-01-13"", ""price_aud"": 27420.0, ""odometer_km"": 92727, ""match_quality"": 0.95}, {""sold_at"": ""2025-11-04"", ""price_aud"": 28670.0, ""odometer_km"": 121543, ""match_quality"": 0.94}]",19700.0,5147.0,31180.0,2026-02-24
